id,id_siva,AB2_1,AB2_2,AB2_3,AB2_4,AB2_5,AB2_6,AB2_7,AB2_8,AB2_9,AB2_10,AB2_11,AB2_12,AB2_13,AB2_14,AB2_15,AB2_16,AB2_17,AB2_18,AB2_19,AB2_20,AB2_21,AB2_22,AB2_23,AB2_24,AB2_25,AB2_26,AB2_27,AB2_28,AB2_29,AB2_30,Rhoa_1,Rhoa_2,Rhoa_3,Rhoa_4,Rhoa_5,Rhoa_6,Rhoa_7,Rhoa_8,Rhoa_9,Rhoa_10,Rhoa_11,Rhoa_12,Rhoa_13,Rhoa_14,Rhoa_15,Rhoa_16,Rhoa_17,Rhoa_18,Rhoa_19,Rhoa_20,Rhoa_21,Rhoa_22,Rhoa_23,Rhoa_24,Rhoa_25,Rhoa_26,Rhoa_27,Rhoa_28,Rhoa_29,Rhoa_30,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30
6,row6,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,149.53704783375673,144.17654453308543,132.79263924660694,123.69309563768228,114.65220882737492,102.50917506963276,92.70081203804241,87.44575656934117,79.5216585470117,74.211015710331,72.2640771120183,65.52234974160814,64.46137277192038,64.39712178593618,64.8573631576478,65.63016982413605,66.60180169886131,68.28409438035146,70.72957011996773,71.97925945348781,73.22411323250842,75.65762643039257,77.97546318009752,80.15467086869427,81.19017672032783,83.15444007751704,84.9822718644067,86.68296705024775,88.26668364985113,89.74342287099344,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,120.0,120.0
10,row10,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,195.33397908542455,187.4198596171517,170.32506283947544,156.4761304461532,142.60178489576904,123.84948743077848,108.67394472229817,100.57104505693822,88.48446140615022,80.60502282717756,77.8149635481156,69.83598620418643,70.41841832272995,72.99263375386764,76.83248539502256,81.59200394106969,87.05917529726688,96.25987440889593,109.82320502524873,116.97892313873159,124.30534614900623,139.3045621460114,154.57328048225355,169.96305882847562,177.6744805351066,193.09482293678278,208.48282853769913,223.8173467316078,239.08681446458962,254.285135960729,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,5718.072
16,row16,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,195.51296483023975,189.7064661706852,177.1873447975777,167.03785430927758,156.84013289001658,142.96791418163255,131.6157948772294,125.48358924588172,116.2019763442223,110.03559750293358,107.82918455945315,101.87170171928992,103.30758669600314,106.90112073222305,111.96946037621947,118.13605011057189,125.1469211313779,136.83886960923678,153.91194316881467,162.8633684227368,171.99827872126932,190.62940028923288,209.53090012227543,228.54722452587814,238.06979665094923,257.11028288454327,276.11842842208387,295.07555596305986,313.9711117789196,332.79862462371693,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,5718.072,5718.072
19,row19,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,435.1917662426217,411.6164092835114,360.564865162309,319.2415770746252,277.99880824511786,222.7382543640215,178.7112492541848,155.60112275071515,121.91385315958098,100.68896345069186,93.35965028418508,72.12415734737067,70.91868182194486,72.78532175828946,76.2084528761543,80.63638160661907,85.80257830881374,94.58077712308153,107.62195905126953,114.53276439675989,121.62417460079297,136.1796007688277,151.03330304506756,166.02992251895716,173.55114887676467,188.6010416188233,203.62904110843814,218.6115502619087,233.53536075492755,248.39328967662024,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,5718.072
20,row20,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,149.72585446017806,146.53788473227175,139.7044708369855,134.17882562269494,128.62246596298468,121.02466914262993,114.72879134146154,111.27122583355083,105.88893783088697,102.10343595150582,100.65822402541818,95.10672813623293,93.92468905418738,93.58585660013316,93.74973842219859,94.26568286193924,95.0598571083159,96.68990265864909,99.57686791487924,101.29807870907703,103.19221886047372,107.46812612633133,112.34521903783511,117.76581318663219,120.66199482958231,126.79070810978604,133.32197147349865,140.2031426247664,147.3851995615687,154.82334555166378,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5718.072
25,row25,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,435.3911930756255,414.2024093356957,368.4430182427708,331.44647514702075,294.50680448216235,244.8967581723592,205.16805309439653,184.18683160393195,153.34176847464028,133.66176258300732,126.80653031227286,107.29199010401874,107.53020999870722,111.50953081084594,117.59936821204587,125.09743572091924,133.6064867693334,147.68663718403064,167.94927880167603,178.42120256984418,188.99455907201326,210.18708450628299,231.14615951350837,251.6484183448098,261.68552957734704,281.28005208699284,300.1941064513414,318.3997300530291,335.88429715364845,352.64457342674126,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,120.0,120.0
26,row26,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,195.55469344923904,190.17207543611082,178.33415571685137,168.5629067454487,158.60821572125138,144.85288609970476,133.40257990970997,127.13406307447379,117.50336974958608,110.96210010436367,108.57211212846327,101.36588831616636,101.9817807469433,104.68235468017166,108.76681106707966,113.86145391218759,119.72065298600316,129.55077713002527,143.90526587897853,151.39453323348926,158.99491678903547,174.32551268327313,189.59580132632632,204.63086910519124,212.0281737617119,226.5471805839699,240.67593996295074,254.40484120808486,267.7364460914607,280.6798821689938,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,965.4
28,row28,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,435.06551843922716,410.2191982656172,357.17889625554403,314.80739185875314,272.9526573699559,217.53096226548146,173.94636813333364,151.2982700515529,118.63057828369182,98.32537593220974,91.3846595369277,71.76759986772475,70.97545821918328,73.09010577945702,76.69377644507136,81.26082922130513,86.52717476883703,95.37317744089302,108.32555821949688,115.10672550378808,122.00817879606075,135.99569337911333,150.02246803703832,163.9258195579584,170.79872892074962,184.34560180855055,197.5919932222575,210.5109237126602,223.08662360739794,235.3101853540097,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,120.0
41,row41,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,435.1218938672098,410.8408816044885,358.6785203324769,316.76525787253104,275.1742147874045,219.8139368915744,176.02695059162613,153.17193013386367,120.05142211157403,99.33963603849486,92.22721877041499,71.885125975628,70.89219511492735,72.87238462111799,76.36683009220656,80.83986890752607,86.02735020523636,94.78901247565392,107.70536429892928,114.50534952762183,121.45177918714995,135.61080649066577,149.9214328810154,164.22420818211424,171.34102433488363,185.4656690236922,199.41172195581316,213.15433280878116,226.67956967236202,239.98001772529872,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,4765.06,965.4
47,row47,2.0,5.0,8.0,10.0,12.0,15.0,18.0,20.0,24.0,28.0,30.0,45.0,55.0,65.0,75.0,85.0,95.0,110.0,130.0,140.0,150.0,170.0,190.0,210.0,220.0,240.0,260.0,280.0,300.0,320.0,195.25846966286605,186.59123305343806,168.32993825171962,153.86464249631177,139.6203402809514,120.73557276963757,105.76417700245527,97.89238890764288,86.32992919685492,78.93115784516056,76.3449840255143,69.14444945102322,69.7551404917128,72.11985754142816,75.54901710564134,79.7013733884123,84.36115589422309,91.96739717045858,102.68566224178679,108.11499273168937,113.51720344554705,124.09199060053113,134.19891950891986,143.72614090670487,148.25462100179607,156.8273512301682,164.75357107732955,172.04532264636595,178.72373890761415,184.81496202732868,6.4,12.8,19.200000000000003,25.6,32.0,38.400000000000006,44.800000000000004,51.2,57.6,64.0,70.4,76.80000000000001,83.2,89.60000000000001,96.0,102.4,108.80000000000001,115.2,121.60000000000001,128.0,134.4,140.8,147.20000000000002,153.60000000000002,160.0,166.4,172.8,179.20000000000002,185.60000000000002,192.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,804.5,120.0
