id,sitio+variante,Espesor_1,Espesor_2,Espesor_3,Resistividad_1,Resistividad_2,Resistividad_3,Resistividad_4,AB2_1,AB2_2,AB2_3,AB2_4,AB2_5,AB2_6,AB2_7,AB2_8,AB2_9,AB2_10,AB2_11,AB2_12,AB2_13,AB2_14,AB2_15,AB2_16,AB2_17,AB2_18,AB2_19,AB2_20,AB2_21,AB2_22,AB2_23,AB2_24,AB2_25,AB2_26,AB2_27,AB2_28,AB2_29,AB2_30
1,sitio1_var1,6.208570085913273,71.40563419696998,120.97710044587429,437.2,60.0,4765.06,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
2,sitio1_var2,6.3835277908499535,77.67629135441291,123.56205190414721,150.0,90.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
3,sitio1_var3,6.220765864397727,63.01412080444298,129.34967220942536,196.01,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
4,sitio1_var4,6.2430137103754815,67.58691281788434,122.50740403564048,150.0,90.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
5,sitio1_var5,6.017103011494866,67.19863136221885,128.4692351396891,196.01,60.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
6,sitio1_var6,6.0774187986755575,62.73238401322765,115.23377788386159,150.0,60.0,100.0,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
7,sitio1_var7,6.377220144504047,67.95092551466075,130.3828297946859,437.2,90.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
8,sitio1_var8,6.076264750572518,76.53558150307289,118.18425012336306,150.0,60.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
9,sitio1_var9,6.297996537283649,72.38736984085361,116.0592607254664,150.0,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
10,sitio1_var10,6.273358950533914,64.55345986165307,116.93220713003821,196.01,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
11,sitio1_var11,6.15929459882029,73.34208971026496,116.04248054402069,150.0,90.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
12,sitio1_var12,6.145344753881886,78.15043013779137,119.08487938549641,437.2,60.0,4765.06,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
13,sitio1_var13,6.104623126035343,63.976789359646475,125.15958288142501,437.2,90.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
14,sitio1_var14,6.068160370174133,61.5693507896932,127.75204776332994,150.0,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
15,sitio1_var15,6.387463253064777,72.50082828102427,121.02598410834541,150.0,90.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
16,sitio1_var16,6.19700327071899,61.35511377253241,117.44655215000769,196.01,90.0,804.5,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
17,sitio1_var17,6.20668428952835,71.31041990607515,128.749335849131,196.01,60.0,100.0,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
18,sitio1_var18,6.367235684717788,76.0787932391416,128.24068354164535,196.01,90.0,804.5,120.0,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
19,sitio1_var19,6.375870347399384,67.26097635083968,114.10192766600693,437.2,60.0,4765.06,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
20,sitio1_var20,6.087933920351461,69.82954830962733,114.69018687905248,150.0,90.0,100.0,5718.072,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
