Modelo,Sitio,Espesor_1,Espesor_2,Espesor_3,Resistividad_1,Resistividad_2,Resistividad_3,Resistividad_4,AB2_1,AB2_2,AB2_3,AB2_4,AB2_5,AB2_6,AB2_7,AB2_8,AB2_9,AB2_10,AB2_11,AB2_12,AB2_13,AB2_14,AB2_15,AB2_16,AB2_17,AB2_18,AB2_19,AB2_20,AB2_21,AB2_22,AB2_23,AB2_24,AB2_25,AB2_26,AB2_27,AB2_28,AB2_29,AB2_30
S1-LN-EBSA_V1,1,47.581815303081875,31.23888553794141,119.27929915897674,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V2,1,62.8760721050463,112.0854767562762,23.13845113867752,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V3,1,87.82760511818587,62.82900790711078,47.443386974703365,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V4,1,66.73166772479665,75.63981499841003,55.728517276793355,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V5,1,61.33982888278962,48.499704195208274,88.26046692200214,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V6,1,71.0667662400972,56.2041820151693,70.82905174473356,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V7,1,44.84854110157725,112.17401254608063,41.07744635234215,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V8,1,20.78470071643529,59.5125031933689,117.80279609019583,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V9,1,57.53760033536979,65.91029093248324,74.65210873214698,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V10,1,54.85550400761579,96.58253126236012,46.661964730024096,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V11,1,53.94818028615538,57.40827846938461,86.74354124446002,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V12,1,58.107810263396615,53.429921200084095,86.56226853651928,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V13,1,67.77209730860602,46.19680217839711,84.13110051299687,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V14,1,94.1171941600902,30.925217037312024,73.05758880259782,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V15,1,102.87168817731062,71.32915351217116,23.899158310518203,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V16,1,64.23757977609056,91.15344485436243,42.708975369547055,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V17,1,32.5642439692841,73.40312723644071,92.13262879427523,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V18,1,39.6662685675364,56.12153030779332,102.31220112467032,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V19,1,81.6820536271527,65.65579098140743,50.7621553914399,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V20,1,57.90153704559802,95.38547797344162,44.81298498096039,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V21,1,46.683255067044996,55.908556589441254,95.50818834351377,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V22,1,44.09920977518322,62.054471162510644,91.94631906230617,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V23,1,79.19808193824569,57.197486158591204,61.70443190316312,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
S1-LN-EBSA_V24,1,66.2941999904852,101.53197920542364,30.2738208040912,150.0,60.0,804.5,965.4,2,5,8,10,12,15,18,20,24,28,30,45,55,65,75,85,95,110,130,140,150,170,190,210,220,240,260,280,300,320
