Modelo_ID,AB2,Resistividad_Aparente,AB2_Predicho
SEV-Prueva,2.0,278.7,68.35943988854237
SEV-Prueva,5.0,392.9,44.11137088004502
SEV-Prueva,,,43.7494176622427
SEV-Prueva,,,43.7494176622427
SEV-Prueva,,,43.7494176622427
SEV-Prueva,10.0,596.9,70.23587520272883
SEV-Prueva,10.0,577.8,70.63786184784652
SEV-Prueva,15.0,999.1,69.63391676776182
SEV-Prueva,20.0,1147.8,53.036006294013916
SEV-Prueva,,,43.7494176622427
SEV-Prueva,30.0,1281.8,24.83474635708922
SEV-Prueva,40.0,1298.0,24.196872243546796
SEV-Prueva,,,43.7494176622427
SEV-Prueva,40.0,1842.5,38.20181095462114
SEV-Prueva,50.0,1871.6,34.81242136603858
SEV-Prueva,60.0,2163.8,36.36257498268284
SEV-Prueva,,,43.7494176622427
SEV-Prueva,70.0,1965.6,36.315010482925196
SEV-Prueva,80.0,1600.0,26.303308087602403
SEV-Prueva,,,43.7494176622427
SEV-Prueva,90.0,1517.1,21.88189863333782
SEV-Prueva,100.0,1660.4,27.327487248583765
