Modelo_ID,Sitio_ID,AB2,Resistividad_Aparente,AB2_Predicho
S2-ZR-PEBSA-Prueba,8,2,287.7,6.070797468793861
S2-ZR-PEBSA-Prueba,8,5,392.9,11.943736574462275
S2-ZR-PEBSA-Prueba,8,10,577.8,15.02142857142857
S2-ZR-PEBSA-Prueba,8,10,596.9,18.90773774927206
S2-ZR-PEBSA-Prueba,8,70,1965.6,26.31994175308177
S2-ZR-PEBSA-Prueba,8,50,1871.6,26.60398732638722
S2-ZR-PEBSA-Prueba,8,40,1842.5,26.852715270880005
S2-ZR-PEBSA-Prueba,8,60,2163.8,33.13608416289212
S2-ZR-PEBSA-Prueba,8,80,1600.0,33.56475242594988
S2-ZR-PEBSA-Prueba,8,100,1660.4,41.063223753135354
S2-ZR-PEBSA-Prueba,8,90,1517.1,48.71872634604576
S2-ZR-PEBSA-Prueba,8,15,999.1,58.131544162166826
S2-ZR-PEBSA-Prueba,8,20,1147.8,60.50425078185272
S2-ZR-PEBSA-Prueba,8,40,1298.0,61.0757497946528
S2-ZR-PEBSA-Prueba,8,30,1281.8,64.15082018820628
