id,sitio+variante,Espesor_1,Espesor_2,Espesor_3,col1,col2,col3,col4
1,sitio2_variante1,2.1430052075191304,7.18604008630707,55.00678100131578,20.0,80.0,120.0,160.0
2,sitio2_variante2,2.2849214609188895,22.786237098839496,59.08056455886518,40.0,80.0,120.0,160.0
3,sitio2_variante3,2.2110454581929506,8.9870086584754,33.15562358350902,30.0,80.0,120.0,160.0
4,sitio2_variante4,1.3769728705682371,7.743422659564494,46.33652915925669,20.0,80.0,100.0,160.0
5,sitio2_variante5,2.658757110956508,12.658119366145357,32.60860922884289,20.0,70.0,120.0,160.0
6,sitio2_variante6,2.042268262901847,17.533043636122592,54.659288064275785,40.0,70.0,100.0,160.0
7,sitio2_variante7,1.4844929178219257,14.766678762716888,62.61609186214865,30.0,70.0,100.0,150.0
8,sitio2_variante8,2.2710021982629645,10.292054841926792,54.82579257576391,20.0,70.0,120.0,160.0
9,sitio2_variante9,3.193075775129636,18.765905321986907,35.6584089348159,40.0,80.0,100.0,130.0
10,sitio2_variante10,3.0822231936741717,17.314150402523687,45.76037897358934,10.0,70.0,120.0,130.0
11,sitio2_variante11,1.8816762409488592,18.522991106385287,54.891698138180146,40.0,70.0,120.0,150.0
12,sitio2_variante12,2.064065066390127,20.995322373652346,40.829721281213686,20.0,50.0,100.0,150.0
13,sitio2_variante13,2.6453693630729513,19.40127420130284,57.103197637781975,10.0,70.0,110.0,160.0
14,sitio2_variante14,1.6032346610556494,20.018754475774486,48.2965310966282,10.0,70.0,100.0,130.0
15,sitio2_variante15,1.308972385835669,13.734183047717128,53.4297805938741,10.0,80.0,110.0,140.0
16,sitio2_variante16,3.17204426032008,19.395070058226203,47.21419113505121,40.0,60.0,100.0,150.0
17,sitio2_variante17,2.183418340996971,22.253505011654013,51.57104249867171,30.0,50.0,90.0,160.0
18,sitio2_variante18,1.8556930645587764,22.88284283499728,57.736800836034746,40.0,50.0,100.0,150.0
19,sitio2_variante19,2.5701658497620663,20.6807869960378,52.047950741432246,20.0,80.0,90.0,130.0
20,sitio2_variante20,2.820537009068554,15.465123337267597,34.249610441470296,30.0,50.0,110.0,140.0
21,sitio2_variante21,3.1590292356204674,22.72572689770916,50.61684730288407,30.0,50.0,110.0,130.0
22,sitio2_variante22,1.6630031892569161,10.985974692890121,51.699174096767166,20.0,50.0,90.0,140.0
23,sitio2_variante23,2.340144367143834,12.406945386346422,65.43370347752588,40.0,60.0,100.0,150.0
24,sitio2_variante24,1.8701735244662636,14.879423665114258,32.57427297547433,20.0,70.0,120.0,140.0
25,sitio2_variante25,1.715232580380762,6.717204605688841,62.00371026360937,40.0,70.0,100.0,160.0
26,sitio2_variante26,1.871485392720782,15.979381312641692,45.703911507956754,30.0,80.0,110.0,130.0
27,sitio2_variante27,2.883009914531291,20.310880521107208,56.99643737123785,40.0,80.0,120.0,130.0
28,sitio2_variante28,2.496744941747531,8.95024200886034,36.52445133839383,40.0,50.0,100.0,130.0
29,sitio2_variante29,1.3371739308881123,10.293395861511803,44.053685769681984,30.0,50.0,90.0,130.0
30,sitio2_variante30,2.1958513464592526,4.643017778705061,46.763354756847214,20.0,60.0,120.0,130.0
31,sitio2_variante31,3.4626349933634186,8.685839624538449,33.46127379380944,30.0,80.0,120.0,150.0
32,sitio2_variante32,3.4284462166283154,13.224793077244259,48.91528731624627,40.0,80.0,110.0,160.0
33,sitio2_variante33,2.142388863818121,19.92036427585222,34.30169106739102,40.0,80.0,100.0,160.0
