Modelo_ID,Sitio_ID,AB2,Resistividad_Aparente
S1-LN-EBSA_V1,1,2.0,140.5067091960912
S1-LN-EBSA_V1,1,5.0,143.37701906137056
S1-LN-EBSA_V1,1,8.0,145.63823902933484
S1-LN-EBSA_V1,1,10.0,126.27731566175531
S1-LN-EBSA_V1,1,12.0,152.72941075117768
S1-LN-EBSA_V1,1,15.0,122.75372470789307
S1-LN-EBSA_V1,1,18.0,142.29048486352116
S1-LN-EBSA_V1,1,20.0,154.27715620576842
S1-LN-EBSA_V1,1,24.0,170.39380097087127
S1-LN-EBSA_V1,1,28.0,130.87996361838754
S1-LN-EBSA_V1,1,30.0,168.28035103010725
S1-LN-EBSA_V1,1,45.0,143.74711271228693
S1-LN-EBSA_V1,1,55.0,138.4649078999557
S1-LN-EBSA_V1,1,65.0,159.2062105888207
S1-LN-EBSA_V1,1,75.0,163.35715104639243
S1-LN-EBSA_V1,1,85.0,118.26083513332985
S1-LN-EBSA_V1,1,95.0,128.7172096731457
S1-LN-EBSA_V1,1,110.0,141.611076752334
S1-LN-EBSA_V1,1,130.0,143.51671346302666
S1-LN-EBSA_V1,1,140.0,116.78449430512448
S1-LN-EBSA_V1,1,150.0,115.1611005799901
S1-LN-EBSA_V1,1,170.0,131.3249238211577
S1-LN-EBSA_V1,1,190.0,117.60439350344302
S1-LN-EBSA_V1,1,210.0,132.07927606366204
S1-LN-EBSA_V1,1,220.0,154.6711095873933
S1-LN-EBSA_V1,1,240.0,145.34854341383922
S1-LN-EBSA_V1,1,260.0,151.48193074104674
S1-LN-EBSA_V1,1,280.0,117.17948214234822
S1-LN-EBSA_V1,1,300.0,157.30719832066055
S1-LN-EBSA_V1,1,320.0,169.69781623255736
S1-LN-EBSA_V2,1,2.0,140.50668060296587
S1-LN-EBSA_V2,1,5.0,143.3765646481427
S1-LN-EBSA_V2,1,8.0,145.6363596838866
S1-LN-EBSA_V2,1,10.0,126.27415041429057
S1-LN-EBSA_V2,1,12.0,152.72283924840522
S1-LN-EBSA_V2,1,15.0,122.74353276406079
S1-LN-EBSA_V2,1,18.0,142.2703652794161
S1-LN-EBSA_V2,1,20.0,154.247560640187
S1-LN-EBSA_V2,1,24.0,170.33871754868773
S1-LN-EBSA_V2,1,28.0,130.81469383517225
S1-LN-EBSA_V2,1,30.0,168.17875213519284
S1-LN-EBSA_V2,1,45.0,143.4934197222261
S1-LN-EBSA_V2,1,55.0,138.06751829347513
S1-LN-EBSA_V2,1,65.0,158.5422906192262
S1-LN-EBSA_V2,1,75.0,162.44395950855088
S1-LN-EBSA_V2,1,85.0,117.42642949086175
S1-LN-EBSA_V2,1,95.0,127.6229389883665
S1-LN-EBSA_V2,1,110.0,140.12115375152183
S1-LN-EBSA_V2,1,130.0,141.68471568662315
